Imagen,Texto Detectado,Texto Esperado,Tiempo (s),Precisión (%),Resultado
"dataset/1755800220_0.9_(48, 104, 3)_BYJ-567.jpg",,BYJ-567,0.0504,0.0,❌ Incorrecto
"dataset/1755800225_0.91_(44, 95, 3)_V71-023.jpg",,V71-023,0.0570,0.0,❌ Incorrecto
"dataset/1755800256_0.9_(49, 104, 3)_Z4X-018.jpg",,Z4X-018,0.0759,0.0,❌ Incorrecto
"dataset/1755800279_0.93_(64, 113, 3)_A8D-757.jpg",80-757,A8D-757,0.0562,0.0,❌ Incorrecto
"dataset/1755800317_0.9_(45, 93, 3)_VAJ-632.jpg",,VAJ-632,0.0563,0.0,❌ Incorrecto
"dataset/1755800323_0.9_(52, 105, 3)_CRO-577.jpg",,CRO-577,0.0559,0.0,❌ Incorrecto
"dataset/1755800341_0.9_(44, 91, 3)_V8U-524.jpg",,V8U-524,0.0510,0.0,❌ Incorrecto
"dataset/1755800344_0.91_(47, 96, 3)_Z7U-204.jpg",,Z7U-204,0.0516,0.0,❌ Incorrecto
"dataset/1755800351_0.91_(47, 93, 3)_BSV-176.jpg",,BSV-176,0.0505,0.0,❌ Incorrecto
"dataset/1755800370_0.91_(52, 105, 3)_Z7P-666.jpg",77P-660,Z7P-666,0.0585,0.0,❌ Incorrecto
"dataset/1755800418_0.9_(53, 106, 3)_Z6A-203.jpg",,Z6A-203,0.0529,0.0,❌ Incorrecto
"dataset/1755800425_0.9_(58, 119, 3)_B3W-759.jpg",,B3W-759,0.0508,0.0,❌ Incorrecto
"dataset/1755800437_0.9_(60, 107, 3)_Z5B-752.jpg",,Z5B-752,0.0514,0.0,❌ Incorrecto
"dataset/1755800446_0.9_(49, 100, 3)_Z8Y-837.jpg",,Z8Y-837,0.0572,0.0,❌ Incorrecto
"dataset/1755800450_0.9_(48, 96, 3)_Z7V-290.jpg",,Z7V-290,0.0513,0.0,❌ Incorrecto
"dataset/1755800459_0.9_(46, 92, 3)_Z6S-279.jpg",,Z6S-279,0.0513,0.0,❌ Incorrecto
"dataset/1755800467_0.91_(58, 105, 3)_B1B-164.jpg",,B1B-164,0.0506,0.0,❌ Incorrecto
"dataset/1755800525_0.91_(45, 92, 3)_V9W-422.jpg",9N-422,V9W-422,0.0550,0.0,❌ Incorrecto
"dataset/1755800555_0.9_(44, 90, 3)_V8M-368.jpg",VH-368,V8M-368,0.0571,0.0,❌ Incorrecto
"dataset/1755800589_0.9_(46, 98, 3)_A8D-757.jpg",480-737,A8D-757,0.0546,0.0,❌ Incorrecto
"dataset/1755800590_0.9_(54, 109, 3)_A80-757.jpg",,A80-757,0.0505,0.0,❌ Incorrecto
"dataset/1755800700_0.91_(48, 100, 3)_Z5Q-106.jpg",,Z5Q-106,0.0496,0.0,❌ Incorrecto
"dataset/1755800790_0.9_(43, 90, 3)_X4N-230.jpg",,X4N-230,0.0581,0.0,❌ Incorrecto
"dataset/1755800793_0.91_(46, 92, 3)_V1I-104.jpg",,V1I-104,0.0537,0.0,❌ Incorrecto
"dataset/1755800797_0.9_(52, 103, 3)_AUU-101.jpg",AU-101,AUU-101,0.0551,0.0,❌ Incorrecto
"dataset/1755800807_0.9_(50, 104, 3)_X20-934.jpg",,X20-934,0.0559,0.0,❌ Incorrecto
"dataset/1755800880_0.9_(44, 92, 3)_V31-163.jpg",,V31-163,0.0538,0.0,❌ Incorrecto
"dataset/1755800883_0.9_(54, 104, 3)_Z6L-717.jpg",,Z6L-717,0.0514,0.0,❌ Incorrecto
"dataset/1755800887_0.9_(47, 97, 3)_Z7K-549.jpg",,Z7K-549,0.0518,0.0,❌ Incorrecto
