Imagen,Texto Detectado,Texto Esperado,Tiempo (s),Precisión (%),Resultado
"dataset/1755800220_0.9_(48, 104, 3)_BYJ-567.jpg",BYJ-567,BYJ-567,0.0307,100.0,✅ Correcto
"dataset/1755800225_0.91_(44, 95, 3)_V71-023.jpg",,V71-023,0.0253,0.0,❌ Incorrecto
"dataset/1755800256_0.9_(49, 104, 3)_Z4X-018.jpg",74X-018,Z4X-018,0.0217,0.0,❌ Incorrecto
"dataset/1755800279_0.93_(64, 113, 3)_A8D-757.jpg",[80-757,A8D-757,0.0213,0.0,❌ Incorrecto
"dataset/1755800317_0.9_(45, 93, 3)_VAJ-632.jpg",,VAJ-632,0.0195,0.0,❌ Incorrecto
"dataset/1755800323_0.9_(52, 105, 3)_CRO-577.jpg",[RO-577,CRO-577,0.0370,0.0,❌ Incorrecto
"dataset/1755800341_0.9_(44, 91, 3)_V8U-524.jpg",18u-524,V8U-524,0.0201,0.0,❌ Incorrecto
"dataset/1755800344_0.91_(47, 96, 3)_Z7U-204.jpg",,Z7U-204,0.0271,0.0,❌ Incorrecto
"dataset/1755800351_0.91_(47, 93, 3)_BSV-176.jpg",BSI-170,BSV-176,0.0208,0.0,❌ Incorrecto
"dataset/1755800370_0.91_(52, 105, 3)_Z7P-666.jpg",[7P-666,Z7P-666,0.0219,0.0,❌ Incorrecto
"dataset/1755800418_0.9_(53, 106, 3)_Z6A-203.jpg",,Z6A-203,0.0213,0.0,❌ Incorrecto
"dataset/1755800425_0.9_(58, 119, 3)_B3W-759.jpg",,B3W-759,0.0214,0.0,❌ Incorrecto
"dataset/1755800437_0.9_(60, 107, 3)_Z5B-752.jpg",,Z5B-752,0.0213,0.0,❌ Incorrecto
"dataset/1755800446_0.9_(49, 100, 3)_Z8Y-837.jpg",Z8Y-837,Z8Y-837,0.0207,100.0,✅ Correcto
"dataset/1755800450_0.9_(48, 96, 3)_Z7V-290.jpg",,Z7V-290,0.0190,0.0,❌ Incorrecto
"dataset/1755800459_0.9_(46, 92, 3)_Z6S-279.jpg",465-279,Z6S-279,0.0179,0.0,❌ Incorrecto
"dataset/1755800467_0.91_(58, 105, 3)_B1B-164.jpg",,B1B-164,0.0231,0.0,❌ Incorrecto
"dataset/1755800525_0.91_(45, 92, 3)_V9W-422.jpg",,V9W-422,0.0200,0.0,❌ Incorrecto
"dataset/1755800555_0.9_(44, 90, 3)_V8M-368.jpg",,V8M-368,0.0195,0.0,❌ Incorrecto
"dataset/1755800589_0.9_(46, 98, 3)_A8D-757.jpg",,A8D-757,0.0286,0.0,❌ Incorrecto
"dataset/1755800590_0.9_(54, 109, 3)_A80-757.jpg",,A80-757,0.0219,0.0,❌ Incorrecto
"dataset/1755800700_0.91_(48, 100, 3)_Z5Q-106.jpg",(50-106,Z5Q-106,0.0226,0.0,❌ Incorrecto
"dataset/1755800790_0.9_(43, 90, 3)_X4N-230.jpg",,X4N-230,0.0203,0.0,❌ Incorrecto
